t_s	x_mm	y_mm	z_mm	roll_rad	pitch_rad	yaw_rad	fx_N	fy_N	fz_N
1.090425	573.616693	55.380973	104.248956	0.000236	0.000278	1.569996	0.000000	-0.075954	0.000000
1.110434	573.619152	55.202864	104.128553	0.000236	0.000278	1.570096	0.000000	0.000000	0.000000
1.130422	573.609933	54.840710	103.930749	0.000236	0.000277	1.569996	0.000000	0.131811	0.000000
1.150435	573.594949	54.535910	103.733003	0.000236	0.000277	1.570096	0.000000	-0.053293	0.000000
1.170422	573.607869	54.243048	103.612681	0.000236	0.000277	1.569996	0.000000	0.258186	0.000000
1.190422	573.609807	54.064897	103.492375	0.000236	0.000277	1.569996	0.000000	0.137658	0.000000
1.210444	573.611658	53.886736	103.372086	0.000236	0.000277	1.569996	0.000000	0.000000	0.000000
1.230425	573.574965	53.573033	103.162520	0.000278	0.000380	1.569996	0.000000	0.124093	0.000000
1.250418	573.566138	53.271225	103.019898	0.000237	0.000277	1.570096	0.000000	-0.072253	0.000000
1.270429	573.572924	53.035686	102.899688	0.000237	0.000277	1.569996	0.000000	0.000000	0.000000
1.290447	573.574300	52.857494	102.779496	0.000237	0.000277	1.569996	0.000000	0.000000	0.000000
1.310444	573.580853	52.621935	102.659320	0.000237	0.000277	1.569996	0.000000	0.228367	0.000000
1.330418	573.563015	52.495285	102.582085	0.000237	0.000277	1.569996	0.000000	0.364051	0.000000
1.350447	573.587278	52.386366	102.539161	0.000237	0.000276	1.569996	0.000000	0.087885	0.000000
1.370420	573.553009	52.109059	102.329836	0.000176	0.000421	1.570096	0.000000	0.000000	0.000000
1.390478	573.585311	51.824927	102.221703	0.000134	0.000318	1.569996	0.000000	0.000000	0.000000
1.410420	573.567223	51.698282	102.144526	0.000134	0.000318	1.569996	0.000000	0.000000	0.000000
1.430445	573.565874	51.459642	101.969558	0.000177	0.000421	1.569996	0.000000	0.273058	0.000000
1.450421	573.547665	51.333000	101.892411	0.000177	0.000421	1.569996	0.000000	0.150881	0.000000
1.470457	573.508418	51.197576	101.803303	0.000219	0.000524	1.569996	0.000000	0.052918	0.000000
1.490442	573.540134	50.913401	101.695249	0.000177	0.000421	1.569996	0.000000	0.000000	0.000000
1.510469	573.538302	50.674736	101.520357	0.000219	0.000523	1.569996	0.000000	-0.279792	0.000000
1.530419	573.519846	50.548105	101.443269	0.000219	0.000523	1.569996	0.000000	-0.092699	0.000000
1.550443	573.520071	50.369831	101.323291	0.000220	0.000523	1.570096	0.000000	-0.104331	0.000000
1.570441	573.501514	50.243204	101.246231	0.000220	0.000523	1.570096	0.000000	-0.096102	0.000000
1.590420	573.506596	50.007571	101.126286	0.000220	0.000523	1.569996	0.000000	-0.077964	0.000000
1.610443	573.513927	49.832338	101.061227	0.000178	0.000420	1.569996	0.000000	-0.144758	0.000000
1.630448	573.537544	49.723311	101.018332	0.000178	0.000420	1.569996	0.000000	0.000000	0.000000
1.650419	573.513826	49.654041	100.941314	0.000178	0.000420	1.570096	0.000000	0.000000	0.000000
1.670419	573.497561	49.409660	100.809444	0.000220	0.000523	1.569996	0.000000	0.000000	0.000000
1.690429	573.497266	49.231352	100.689565	0.000221	0.000523	1.569996	0.000000	-0.164889	0.000000
1.710420	573.523212	49.182717	100.701540	0.000178	0.000420	1.569996	0.000000	-0.113790	0.000000
1.730419	573.496884	49.053036	100.569704	0.000221	0.000523	1.570096	0.000000	0.000000	0.000000
1.750423	573.482797	48.869075	100.492745	0.000221	0.000523	1.569996	0.000000	0.070503	0.000000
1.770445	573.501299	48.817361	100.449859	0.000221	0.000523	1.569996	0.000000	0.000000	0.000000
1.790447	573.463766	48.742467	100.415798	0.000221	0.000523	1.569996	0.000000	0.000000	0.000000
1.810423	573.500726	48.639027	100.330032	0.000221	0.000523	1.570096	0.000000	0.000000	0.000000
1.830405	573.481617	48.512417	100.253103	0.000221	0.000523	1.570096	0.000000	-0.059290	0.000000
1.850420	573.507502	48.463757	100.265078	0.000179	0.000420	1.570096	0.000000	-0.051755	0.000000
1.870442	573.488341	48.337149	100.188162	0.000179	0.000420	1.570096	0.000000	-0.054896	0.000000
1.890427	573.506766	48.285410	100.145283	0.000179	0.000420	1.570096	0.000000	-0.063759	0.000000
1.910423	573.466504	48.150123	100.056408	0.000222	0.000523	1.569996	0.000000	-0.064175	0.000000
1.930444	573.492358	48.101452	100.068382	0.000179	0.000420	1.569996	0.000000	-0.054416	0.000000
1.950444	573.510751	48.049703	100.025505	0.000179	0.000420	1.569996	0.000000	0.000000	0.000000
1.970421	573.473084	47.974850	99.991494	0.000179	0.000420	1.569996	0.000000	-0.077802	0.000000
1.990449	573.491458	47.923097	99.948620	0.000179	0.000420	1.569996	0.000000	-0.068003	0.000000
2.010420	573.509824	47.871339	99.905744	0.000179	0.000420	1.570096	0.000000	-0.065245	0.000000
2.030421	573.451078	47.787829	99.859773	0.000222	0.000522	1.569996	0.000000	-0.058705	0.000000
2.050422	573.469424	47.736070	99.816900	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.070421	573.469424	47.736070	99.816900	0.000222	0.000522	1.569996	0.000000	-0.138451	0.000000
2.090446	573.474195	47.678723	99.816900	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.110423	573.495243	47.687384	99.828874	0.000179	0.000420	1.569996	0.000000	-0.067688	0.000000
2.130481	573.492527	47.626957	99.774026	0.000222	0.000522	1.569996	0.000000	-0.059198	0.000000
2.150421	573.513576	47.635616	99.786000	0.000179	0.000420	1.569996	0.000000	-0.052128	0.000000
2.170423	573.513576	47.635616	99.786000	0.000179	0.000420	1.569996	0.000000	-0.072295	0.000000
2.190420	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	-0.063817	0.000000
2.210420	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.230422	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.250470	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.270421	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.290496	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.310432	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.330465	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.350421	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.370428	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.390425	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.410420	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.430421	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.450423	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.470441	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
